AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037590;0,009250;1,005330;-0,312490;-0,076300;0,284450;45,085712;14,156800;1,852000;157,700000;33,300000;10;45;29,529;06/01/2021
-0,037500;0,009480;1,005590;-0,324900;-0,090710;0,304920;45,085712;14,156798;1,666800;157,500000;28,500000;10;45;29,785;06/01/2021
-0,037550;0,009140;1,005590;-0,316550;-0,073630;0,277860;45,085710;14,156797;0,000000;157,500000;28,600000;10;45;30,041;06/01/2021
-0,037670;0,009390;1,005310;-0,308110;-0,064840;0,275080;45,085708;14,156795;0,000000;157,700000;28,600000;10;45;30,297;06/01/2021
-0,037690;0,009300;1,005870;-0,309840;-0,075250;0,263150;45,085708;14,156793;0,000000;157,700000;28,600000;10;45;30,554;06/01/2021
-0,037280;0,009370;1,005630;-0,310460;-0,080020;0,274710;45,085708;14,156792;0,000000;157,800000;28,600000;10;45;30,809;06/01/2021
-0,037700;0,009440;1,006150;-0,315410;-0,079390;0,232710;45,085708;14,156792;0,000000;157,800000;28,600000;10;45;31,065;06/01/2021
-0,037480;0,009070;1,005730;-0,309310;-0,066980;0,262360;45,085708;14,156792;0,000000;157,700000;28,600000;10;45;31,322;06/01/2021
-0,037630;0,009450;1,005960;-0,315060;-0,077150;0,264570;45,085708;14,156790;1,666800;157,700000;55,400000;10;45;31,577;06/01/2021
-0,037370;0,009350;1,005440;-0,319900;-0,078870;0,214500;45,085708;14,156790;1,666800;157,700000;54,300000;10;45;31,833;06/01/2021
-0,037640;0,009550;1,005680;-0,315850;-0,077950;0,270240;45,085708;14,156788;0,000000;157,800000;51,800000;10;45;32,089;06/01/2021
-0,037660;0,009420;1,005200;-0,306870;-0,069280;0,265770;45,085708;14,156788;0,000000;157,800000;51,800000;10;45;32,345;06/01/2021
-0,037250;0,009140;1,005200;-0,316850;-0,082230;0,323950;45,085708;14,156788;0,000000;157,800000;51,800000;10;45;32,602;06/01/2021
-0,037790;0,009530;1,005950;-0,314220;-0,082020;0,247720;45,085710;14,156787;0,000000;157,800000;51,800000;10;45;32,857;06/01/2021
-0,037630;0,008970;1,005640;-0,316800;-0,074760;0,230450;45,085710;14,156787;1,666800;157,800000;40,600000;10;45;33,112;06/01/2021
-0,037720;0,009540;1,006050;-0,313160;-0,088450;0,217700;45,085710;14,156785;1,852000;157,800000;39,400000;10;45;33,369;06/01/2021
-0,037400;0,009250;1,005370;-0,306660;-0,070890;0,255860;45,085710;14,156785;1,852000;157,700000;46,900000;10;45;33,624;06/01/2021
-0,037410;0,009400;1,005750;-0,310150;-0,084430;0,272120;45,085710;14,156785;1,852000;157,700000;43,600000;10;45;33,881;06/01/2021
-0,037630;0,009180;1,005830;-0,309550;-0,071950;0,274140;45,085710;14,156785;2,037200;157,700000;40,700000;10;45;34,137;06/01/2021
-0,037550;0,009390;1,005970;-0,311170;-0,066980;0,233490;45,085710;14,156785;1,852000;157,700000;40,700000;10;45;34,392;06/01/2021
-0,037540;0,009330;1,005730;-0,313630;-0,074700;0,302990;45,085710;14,156783;0,000000;157,700000;38,600000;10;45;34,649;06/01/2021
-0,037400;0,009510;1,005300;-0,323630;-0,097950;0,248000;45,085710;14,156783;0,000000;157,600000;38,600000;10;45;34,905;06/01/2021
-0,037450;0,009220;1,005200;-0,322050;-0,082330;0,322220;45,085710;14,156783;0,000000;157,600000;38,600000;10;45;35,161;06/01/2021
-0,037670;0,009630;1,005610;-0,318780;-0,086200;0,242580;45,085710;14,156783;1,666800;157,600000;58,800000;10;45;35,417;06/01/2021
-0,037490;0,009240;1,005710;-0,318690;-0,081000;0,267080;45,085710;14,156783;1,666800;157,500000;59,000000;10;45;35,673;06/01/2021
-0,037630;0,009290;1,005550;-0,320140;-0,061540;0,230320;45,085710;14,156783;2,037200;157,500000;48,400000;10;45;35,929;06/01/2021
-0,037550;0,009420;1,005620;-0,310400;-0,081080;0,288520;45,085710;14,156782;2,037200;157,500000;42,700000;10;45;36,185;06/01/2021
-0,037260;0,009220;1,005440;-0,312680;-0,068960;0,222060;45,085710;14,156782;2,037200;157,500000;44,600000;10;45;36,441;06/01/2021
-0,037640;0,009730;1,005920;-0,314090;-0,074800;0,212940;45,085710;14,156782;2,037200;157,500000;46,100000;10;45;36,697;06/01/2021
